2017/04/07 10:03:51 AM LMA: (3936.976) Check-in: Requested next check-in: 2017-04-09 00:03:46.000 UTC (31 hours, 59 minutes, 54 seconds)
2017/04/07 11:59:55 AM LMA: (1320.2536) Check-in: Requested next check-in: 2017-04-09 01:59:55.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/04/07 12:03:14 AM LMA: (1320.2536) Check-in: Requested next check-in: 2017-04-09 02:03:14.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/04/07 12:12:48 AM LMA: (1320.2536) Check-in: Requested next check-in: 2017-04-09 02:12:47.000 UTC (31 hours, 59 minutes, 58 seconds)
2017/04/07 12:26:43 AM LMA: (1320.2536) Check-in: Requested next check-in: 2017-04-09 02:26:43.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/04/07 12:29:22 AM LMA: (1320.2536) Check-in: Requested next check-in: 2017-04-09 02:29:22.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/04/07 12:30:52 AM LMA: (1320.2536) Check-in: Requested next check-in: 2017-04-09 02:30:52.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/04/10 08:16:50 AM LMA: (1792.2536) Check-in: Requested next check-in: 2017-04-11 22:16:48.000 UTC (31 hours, 59 minutes, 57 seconds)
2017/04/10 08:19:18 AM LMA: (1792.2536) Check-in: Requested next check-in: 2017-04-11 22:19:17.000 UTC (31 hours, 59 minutes, 58 seconds)
2017/04/10 08:48:34 AM LMA: (1792.2536) Check-in: Requested next check-in: 2017-04-11 22:48:34.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/04/10 12:12:26 AM LMA: (1792.2536) Check-in: Requested next check-in: 2017-04-12 02:12:25.000 UTC (31 hours, 59 minutes, 58 seconds)
2017/04/10 12:37:34 AM LMA: (1792.2536) Check-in: Requested next check-in: 2017-04-12 02:37:34.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/04/10 01:45:42 PM LMA: (1792.2536) Check-in: Requested next check-in: 2017-04-12 03:45:42.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/04/10 02:12:15 PM LMA: (1792.2536) Check-in: Requested next check-in: 2017-04-12 04:12:15.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/04/13 02:28:13 PM LMA: (2056.2528) Check-in: Requested next check-in: 2017-04-15 04:28:11.000 UTC (31 hours, 59 minutes, 57 seconds)
2017/04/13 02:35:39 PM LMA: (2140.2636) Check-in: Requested next check-in: 2017-04-15 04:35:38.000 UTC (31 hours, 59 minutes, 58 seconds)
2017/04/13 02:37:35 PM LMA: (2140.2636) Check-in: Requested next check-in: 2017-04-15 04:37:34.000 UTC (31 hours, 59 minutes, 58 seconds)
2017/04/18 09:43:48 AM LMA: (1784.2584) Check-in: Requested next check-in: 2017-04-19 23:43:46.000 UTC (31 hours, 59 minutes, 57 seconds)
2017/04/18 09:44:55 AM LMA: (1784.2584) Check-in: Requested next check-in: 2017-04-19 23:44:53.000 UTC (31 hours, 59 minutes, 57 seconds)
2017/04/18 09:56:23 AM LMA: (1784.2584) Check-in: Requested next check-in: 2017-04-19 23:56:23.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/04/19 08:21:10 AM LMA: (1816.2400) Check-in: Requested next check-in: 2017-04-20 22:21:09.000 UTC (31 hours, 59 minutes, 58 seconds)
2017/04/19 08:21:44 AM LMA: (1816.2400) Check-in: Requested next check-in: 2017-04-20 22:21:44.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/04/19 08:28:05 AM LMA: (1816.2400) Check-in: Requested next check-in: 2017-04-20 22:28:05.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/04/19 11:59:10 AM LMA: (1816.2400) Check-in: Requested next check-in: 2017-04-21 01:59:09.000 UTC (31 hours, 59 minutes, 58 seconds)
2017/04/19 12:15:37 AM LMA: (1816.2400) Check-in: Requested next check-in: 2017-04-21 02:15:37.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/04/19 01:37:10 PM LMA: (1816.2400) Check-in: Requested next check-in: 2017-04-21 03:37:10.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/04/19 01:49:46 PM LMA: (1816.2400) Check-in: Requested next check-in: 2017-04-21 03:49:45.000 UTC (31 hours, 59 minutes, 58 seconds)
2017/04/27 03:11:10 PM LMA: (1840.2376) Check-in: Requested next check-in: 2017-04-29 05:11:05.000 UTC (31 hours, 59 minutes, 54 seconds)
2017/04/27 03:11:12 PM LMA: (1840.2376) Check-in: Requested next check-in: 2017-04-29 05:11:07.000 UTC (31 hours, 59 minutes, 54 seconds)
2017/05/01 08:10:09 AM LMA: (1836.2700) Check-in: Requested next check-in: 2017-05-02 22:10:07.000 UTC (31 hours, 59 minutes, 57 seconds)
2017/05/01 01:51:41 PM LMA: (1836.2700) Check-in: Requested next check-in: 2017-05-03 03:51:41.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/01 01:57:25 PM LMA: (1836.2700) Check-in: Requested next check-in: 2017-05-03 03:57:25.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/02 08:55:02 AM LMA: (1880.2468) Check-in: Requested next check-in: 2017-05-03 22:55:01.000 UTC (31 hours, 59 minutes, 58 seconds)
2017/05/02 08:55:37 AM LMA: (1880.2468) Check-in: Requested next check-in: 2017-05-03 22:55:36.000 UTC (31 hours, 59 minutes, 58 seconds)
2017/05/02 11:04:32 AM LMA: (1864.2536) Check-in: Requested next check-in: 2017-05-04 01:04:31.000 UTC (31 hours, 59 minutes, 58 seconds)
2017/05/02 11:07:57 AM LMA: (1864.2536) Check-in: Requested next check-in: 2017-05-04 01:07:57.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/02 11:31:28 AM LMA: (1864.2536) Check-in: Requested next check-in: 2017-05-04 01:31:27.000 UTC (31 hours, 59 minutes, 58 seconds)
2017/05/04 08:29:18 AM LMA: (2044.2628) Check-in: Requested next check-in: 2017-05-05 22:29:17.000 UTC (31 hours, 59 minutes, 58 seconds)
2017/05/04 08:29:51 AM LMA: (2044.2628) Check-in: Requested next check-in: 2017-05-05 22:29:50.000 UTC (31 hours, 59 minutes, 58 seconds)
2017/05/04 09:12:40 AM LMA: (2044.2628) Check-in: Requested next check-in: 2017-05-05 23:12:39.000 UTC (31 hours, 59 minutes, 58 seconds)
2017/05/05 08:41:23 AM LMA: (748.2324) Check-in: Requested next check-in: 2017-05-06 22:41:23.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/05 08:41:48 AM LMA: (748.2324) Check-in: Requested next check-in: 2017-05-06 22:41:47.000 UTC (31 hours, 59 minutes, 58 seconds)
2017/05/05 09:13:02 AM LMA: (748.2324) Check-in: Requested next check-in: 2017-05-06 23:13:02.000 UTC (31 hours, 59 minutes, 59 seconds)
